model,n_obs,ll_arima,ll_garch,ll_combined,k_params,aic_combined,bic_combined,lb_res_p_lag10,lb_res_p_lag20,lb_res_p_lag40,lb_sq_p_lag10,lb_sq_p_lag20,lb_sq_p_lag40,arch_lm_stat,arch_lm_p,jb_stat,jb_p,alpha,beta,alpha_beta_sum
"ARMA(0,1)+GJR-GARCH(1,1)-skewt",756,2541.671112041619,2655.5467272487285,5197.217839290348,9,-10376.435678580696,-10334.78330619508,0.24493208797458607,0.24293705647724853,0.0538395967512525,0.7126880076036797,0.8261170075701261,0.9691335217046496,9.829878140040742,0.6308824426541322,29.383205955318402,4.1640688004515736e-07,0.009000000000000001,0.8799419798896904,0.8889419798896904
"ARMA(0,1)+GJR-GARCH(1,1)-t",756,2541.671112041619,2650.1787286632675,5191.849840704886,8,-10367.699681409773,-10330.675350400337,0.272019419779678,0.2928163036300044,0.0650017282459846,0.7254058030158869,0.8052980672154582,0.9764108315404877,10.901881706578962,0.5373456751042951,29.129491538516465,4.727279515249016e-07,0.009639138268123109,0.8736165356893939,0.883255673957517
"ARMA(0,1)+GJR-GARCH(1,2)-t",756,2541.671112041619,2650.189749847441,5191.860861889059,9,-10365.721723778119,-10324.069351392503,0.3015401082019327,0.2643486777108917,0.07718167571449093,0.8288252228000638,0.8107152095957336,0.9680788005758776,10.466979755452648,0.5750634459023514,32.27967087461401,9.784948196363897e-08,0.009996852386862919,0.434863078828537,0.4448599312153999
"ARMA(0,1)+GJR-GARCH(2,1)-t",756,2541.671112041619,2650.112849023207,5191.783961064826,9,-10365.567922129652,-10323.915549744037,0.26535898925531815,0.28745993281610915,0.06288614402190666,0.7048743934235411,0.8088192556872024,0.9752207419117194,10.770468942202527,0.5486852828266644,28.89933798397742,5.303816517054111e-07,0.005079318499771371,0.8701092289443546,0.875188547444126
"ARMA(0,1)+GJR-GARCH(1,2)-skewt",756,2541.671112041619,2650.2123381455167,5191.883450187135,10,-10363.76690037427,-10317.486486612475,0.3019982558655751,0.26508901028711696,0.0774088656502063,0.8283368439210111,0.8092203060896652,0.9679872054386138,10.501174071028318,0.5720804382989122,32.27943781769245,9.786088487752975e-08,0.009996693180086823,0.43485615333377675,0.4448528465138636
"ARMA(0,1)+GJR-GARCH(2,2)-t",756,2541.671112041619,2650.1737060266723,5191.844818068292,10,-10363.689636136583,-10317.409222374788,0.30310851803815086,0.2651206213906022,0.07768909122571181,0.8283193715046182,0.80854345765213,0.9672533669408981,10.502255092660858,0.5719861721270358,32.29651714107101,9.70287441850968e-08,0.004998447725774198,0.43486495214235527,0.43986339986812945
"ARMA(0,1)+GJR-GARCH(2,1)-skewt",756,2541.671112041619,2650.139328357166,5191.810440398785,10,-10363.62088079757,-10317.340467035776,0.2646633426389299,0.2862032283003409,0.0626587183597615,0.7034946629501028,0.8086923299859152,0.9749697104484051,10.755667480160955,0.5499659996857733,28.88242307667829,5.348863522380873e-07,0.005235289315653555,0.8701066083459837,0.8753418976616373
"ARMA(0,1)+GJR-GARCH(2,2)-skewt",756,2541.671112041619,2651.08314287573,5192.754254917349,11,-10363.508509834697,-10312.600054696723,0.3022121054482778,0.2743403247610894,0.07855502510634566,0.8213527666625055,0.8012184900169359,0.9679857735273539,10.700623219826312,0.5547345303828277,31.906348845100126,1.1793002196970891e-07,0.005561016850282805,0.43244098012357357,0.4380019969738564
"ARMA(0,1)+GARCH(2,1)-skewt",756,2541.671112041619,2648.4848666775206,5190.15597871914,9,-10362.31195743828,-10320.659585052665,0.29595299565379635,0.3046301642349987,0.09898656627412086,0.6145295886615356,0.4697036411873723,0.9293468296997999,16.314015022836948,0.17727318773876638,32.67098800740643,8.04609387098922e-08,0.09792438107954693,0.8181361606655737,0.9160605417451206
"ARMA(0,1)+GARCH(1,2)-skewt",756,2541.671112041619,2647.019574035874,5188.6906860774925,9,-10359.381372154985,-10317.72899976937,0.27631497524795506,0.25473298496074553,0.08787350937699784,0.6994600362555324,0.6599626424352127,0.9586653300300396,12.703381651922179,0.3909637009320829,31.935486587622883,1.1622436954597596e-07,0.18589695053806463,0.3979843558560963,0.5838813063941609
"ARMA(0,1)+GARCH(1,1)-skewt",756,2541.671112041619,2642.6654062957577,5184.336518337377,8,-10352.673036674754,-10315.648705665319,0.2768113516252628,0.2591718554823737,0.08761345185359157,0.6750426739883546,0.6515617934478405,0.9537655079439816,12.810240644314465,0.38298283150075063,31.11670750322861,1.7502207088816956e-07,0.13966089801310533,0.8407540546735253,0.9804149526866306
"ARMA(0,1)+GARCH(1,1)-t",756,2541.671112041619,2641.1949628576167,5182.866074899235,7,-10351.73214979847,-10319.335860165214,0.31592696593488745,0.2889394899674001,0.10549414997429465,0.5531049530813043,0.36038758886386707,0.8706766566437736,17.418231582176613,0.13453048420545374,35.099141075165036,2.3895622887058926e-08,0.10446969354758429,0.8755799576706818,0.980049651218266
"ARMA(0,1)+GARCH(1,2)-t",756,2541.671112041619,2641.3764644735897,5183.047576515209,8,-10350.095153030417,-10313.070822020982,0.3218434431874686,0.27538944581149083,0.10843870817742601,0.5263281649674317,0.3282512478406657,0.8443310923286462,17.57493915484239,0.1292195226085992,36.94740571142775,9.483590423614864e-09,0.1357397291162677,0.422527243543158,0.5582669726594257
"ARMA(0,1)+ARCH(4)-skewt",756,2541.671112041619,2642.0072385941203,5183.678350635739,10,-10347.356701271478,-10301.076287509683,0.2937034467871475,0.35190528891540157,0.0919997956447926,0.11760034929500401,0.010303383099307572,0.2521596670425626,29.458119063694912,0.0033671013012177486,65.34515833726978,6.4636697307260696e-15,0.15064398488673308,0.15976857337543324,0.3104125582621663
"ARMA(0,1)+GARCH(2,1)-t",756,2541.671112041619,2640.0031724785267,5181.674284520146,8,-10347.348569040292,-10310.324238030857,0.2950178656612031,0.26348469848325556,0.10021577953879454,0.502031395399202,0.36432282203392696,0.8508118798029314,16.890767932392457,0.1537526631602182,34.682652141666196,2.942779883215369e-08,0.07044744616510468,0.8607461303995058,0.9311935765646104
"ARMA(0,1)+GARCH(2,2)-t",756,2541.671112041619,2638.8604183360267,5180.531530377646,9,-10343.063060755292,-10301.410688369677,0.33412242268879316,0.3830881450642237,0.10657312979461109,0.3386978328998933,0.10261220453350998,0.6498608436092208,24.23946243589456,0.01886774910996975,35.95096786803389,1.5607973460314448e-08,0.1,0.35,0.44999999999999996
"ARMA(0,1)+ARCH(8)-t",756,2541.671112041619,2642.82985073666,5184.500962778278,13,-10343.001925556557,-10282.837387666223,0.28366723638177954,0.3559810479252878,0.07961384183505454,0.2806729118823487,0.1440700399990579,0.6084979801674888,20.721966748580943,0.05460308209598691,30.110795828913236,2.8941681702842325e-07,0.13441667982625777,0.06787094737927973,0.2022876272055375
"ARMA(0,1)+GARCH(2,2)-skewt",756,2541.671112041619,2638.8604183360267,5180.531530377646,10,-10341.063060755292,-10294.782646993497,0.33412242268879316,0.3830881450642237,0.10657312979461109,0.3386978328998933,0.10261220453350998,0.6498608436092208,24.23946243589456,0.01886774910996975,35.95096786803389,1.5607973460314448e-08,0.1,0.35,0.44999999999999996
"ARMA(0,1)+ARCH(8)-skewt",756,2541.671112041619,2638.6687281215613,5180.33984016318,14,-10332.67968032636,-10267.887101059847,0.3591808011728423,0.4149338099166081,0.10485520303387898,0.20315048170598476,0.09790196116349971,0.5674959363545166,24.720357742744582,0.016205035223574547,33.681324838512296,4.85504477764296e-08,0.09352339828525895,0.09352332185086436,0.1870467201361233
"ARMA(0,1)+ARCH(4)-t",756,2541.671112041619,2632.336048510212,5174.0071605518315,9,-10330.014321103663,-10288.361948718048,0.28604953870843264,0.35532646860490236,0.09248878090771649,0.12450610540910731,0.010473077869627399,0.2223949569162362,30.299121543446535,0.0025168990422162756,54.998077672253146,1.1410880987810064e-12,0.16250000000000003,0.16250000000000003,0.32500000000000007
"ARMA(0,1)+ARCH(2)-skewt",756,2541.671112041619,2617.72421251211,5159.395324553729,8,-10302.790649107457,-10265.766318098022,0.5515123159318113,0.5788484559466524,0.16710677616758643,8.305044001154231e-10,2.1615998548556072e-14,1.168093433510451e-10,73.7864445372991,6.22709963378323e-11,151.40427359449677,1.3273324766477539e-33,0.23978027628289175,0.25493703576033255,0.49471731204322433
"ARMA(0,1)+ARCH(2)-t",756,2541.671112041619,2610.306469923368,5151.977581964987,7,-10289.955163929973,-10257.558874296717,0.5437825719280562,0.5713995432794188,0.1625157500752486,3.0908031615350815e-09,2.3017186850965525e-13,1.0093763848468262e-09,72.14930586280379,1.266220627129422e-10,151.46147801348292,1.2899056318099868e-33,0.25000000000000006,0.25000000000000006,0.5000000000000001
"ARMA(0,1)+ARCH(1)-skewt",756,2541.671112041619,2603.991315757945,5145.662427799563,7,-10277.324855599127,-10244.92856596587,0.47914824130513733,0.44058672865020193,0.11504826846550303,1.4284098583034893e-20,4.5019132671494597e-39,2.6935671373404557e-36,96.3437068851625,2.887354709180188e-15,237.09929032332593,3.2699662835905017e-52,0.267771005443997,6.385127894522606,6.652898899966603
"ARMA(0,1)+ARCH(1)-t",756,2541.671112041619,2598.678919267613,5140.350031309232,6,-10268.700062618464,-10240.931814361385,0.4589631135100035,0.4217750130792098,0.10633481824829553,1.6608162233286456e-18,5.3131579627637394e-36,5.888669721280558e-33,93.71959402500322,9.369066169102079e-15,237.35471148674785,2.87792368753572e-52,0.3250682757173881,5.448262670184365,5.773330945901753
"ARMA(0,1)+EGARCH(1,1)-t",756,2541.671112041619,193.76032803794652,2735.4314400795656,8,-5454.862880159131,-5417.838549149695,0.9709352226515328,0.9959693315094444,0.13656841297901934,0.9999999898485312,1.0,0.9998191738209886,0.14107172331933882,0.9999999998389774,1289880.3734938633,0.0,8.430897891731187,0.9990232478698161,9.429921139601003
"ARMA(0,1)+EGARCH(1,1)-skewt",756,2541.671112041619,-8947.784868828163,-6406.113756786544,9,12830.227513573089,12871.879885958704,0.9642399321885265,0.73225842597805,0.1164529076277033,7.669064709857727e-34,2.1480067148267592e-63,3.854197406799251e-111,83.65239716325254,8.259552139720786e-13,702.4620100317144,2.89943013419236e-153,1492.2069961943027,0.40905145958049294,1492.6160476538832
